escenario;avg. trip duration [s]
escenario 1;172.80
escenario 1;172.80
escenario 1;172.77
escenario 1;172.77
escenario 1;172.76
escenario 1;172.76
escenario 1;172.71
escenario 1;172.71
escenario 1;172.76
escenario 1;172.76
escenario 1;173.16
escenario 1;173.16
escenario 1;173.26
escenario 1;173.26
escenario 1;173.23
escenario 1;173.23
escenario 1;173.23
escenario 1;173.27
escenario 1;173.27
escenario 1;173.39
escenario 1;173.44
escenario 1;173.44
escenario 1;173.43
escenario 1;173.44
escenario 1;173.47
escenario 1;173.47
escenario 1;173.47
escenario 1;173.47
escenario 1;173.47
escenario 1;173.50
escenario 1;173.50
escenario 1;173.59
escenario 1;173.59
escenario 1;173.59
escenario 1;173.72
escenario 1;173.78
escenario 1;173.78
escenario 1;173.78
escenario 1;173.78
escenario 1;173.78
escenario 1;173.78
escenario 1;173.78
escenario 1;173.78
escenario 1;173.84
escenario 1;173.84
escenario 1;173.88
escenario 1;173.91
escenario 1;173.91
escenario 1;173.96
escenario 1;174.10
escenario 1;174.10
escenario 1;174.10
escenario 1;174.12
escenario 1;174.31
escenario 1;174.31
escenario 1;174.31
escenario 1;174.41
escenario 1;174.41
escenario 1;174.41
escenario 1;174.41
escenario 1;174.44
escenario 1;174.52
escenario 1;174.62
escenario 1;174.62
escenario 1;174.64
escenario 1;174.64
escenario 1;174.67
escenario 1;174.69
escenario 1;175.00
escenario 1;175.17
escenario 1;175.17
escenario 1;175.17
escenario 1;175.17
escenario 1;175.17
escenario 1;175.17
escenario 1;175.65
escenario 1;175.67
escenario 1;175.67
escenario 1;175.67
escenario 1;175.74
escenario 1;175.78
escenario 1;175.89
escenario 1;175.89
escenario 1;175.89
escenario 1;175.89
escenario 1;175.91
escenario 1;175.94
escenario 1;176.00
escenario 1;176.00
escenario 1;176.00
escenario 1;176.00
escenario 1;176.16
escenario 1;176.16
escenario 1;176.16
escenario 1;176.16
escenario 1;176.20
escenario 1;176.20
escenario 1;176.20
escenario 1;176.20
escenario 1;176.20
escenario 1;176.20
escenario 1;176.28
escenario 1;176.28
escenario 1;176.28
escenario 1;176.28
escenario 1;176.28
